"Prime Contract ID","Contract Includes Sub Vendors","Vendor Record Type","Prime Vendor","Prime Vendor M/WBE Category","Prime Contract Purpose","Prime Contract Current Amount","Prime Contract Original Amount","Prime Vendor Spend to Date","Prime Contract Start Date","Prime Contract End Date","Prime Contract Registration Date","Prime Woman Owned Business","Prime Emerging Business","Prime Contracting Agency","OCA Number","Prime Contract Version","FMS Document/Parent Contract ID","Prime Contract Type","Prime Contract Award Method","Prime Contract Expense Category","Prime Contract Industry","Prime Contract PIN","Prime Contract APT PIN","% COVID Spending","% Other Spending","Sub Vendor","Sub Vendor M/WBE Category","Sub Contract Purpose","Subcontract Status","Sub Contract Industry","Sub Contract Current Amount","Sub Contract Original Amount","Sub Vendor Paid to Date","Sub Contract Start Date","Sub Contract End Date","Sub Contract Reference ID","Sub Woman Owned Business","Sub Emerging Business"
CTA181620237203182,No Data Entered,Prime Vendor,FJC SECURITY SERVICES INC,Non-M/WBE,"TO Pool 1 unarmed guards, fire guards, FLSD",10111024.56,1200000.00,6170244.19,2022-11-28,2025-11-27,2022-11-30,No ,No ,Department of Health and Mental Hygiene,,4,MMA185720196200586,WORK/LABOR,MULTIPLE AWARDS,SECURITY SERVICES,Standardized Services,81623ME021,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620237203046,No Data Entered,Prime Vendor,FJC SECURITY SERVICES INC,Non-M/WBE,Unarmed Security Guard Services,6514578.76,6514578.76,3975318.10,2022-11-29,2025-11-28,2022-11-09,No ,No ,Department of Health and Mental Hygiene,,3,MMA185720196200586,WORK/LABOR,MULTIPLE AWARDS,SECURITY SERVICES,Standardized Services,23BS024402R0A01,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620237201591,Not Required,Prime Vendor,"TOSKI & CO., CPAs, P.C.",Non-M/WBE,CPA Audit Providers,8600.00,8600.00,4300.00,2022-04-01,2023-06-30,2022-09-16,No ,No ,Department of Health and Mental Hygiene,,1,MMA106920216200496,CONSULTANT,MULTIPLE AWARDS,PROF SERV ACCTING & AUDITING,Professional Services,09613P0003018R002,14PPEOCCNV15R02,-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620237200154,Not Required,Prime Vendor,VALLES VENDIOLA LLP,Non-M/WBE,CPA Audits of Providers - Tier 1,93118.00,93118.00,59298.00,2022-04-01,2023-06-30,2022-08-05,Yes,No ,Department of Health and Mental Hygiene,,1,MMA106920216200691,CONSULTANT,MULTIPLE AWARDS,PROF SERV ACCTING & AUDITING,Professional Services,22MA045501R0X00,14PPEOCCNV20R01,-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620237200152,Not Required,Prime Vendor,VALLES VENDIOLA LLP,Non-M/WBE,CPA Audits of Providers - Tier 2,4081.00,4081.00,4081.00,2022-04-01,2023-06-30,2022-08-04,Yes,No ,Department of Health and Mental Hygiene,,1,MMA106920216200706,CONSULTANT,MULTIPLE AWARDS,PROF SERV ACCTING & AUDITING,Professional Services,22MA045601R0X00,14PPEOCCNV08R02,-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620237200121,No Data Entered,Prime Vendor,GARTNER INC,Non-M/WBE,Gartner Advisory services,388352.00,388352.00,388352.00,2022-07-01,2023-10-31,2022-07-25,No ,No ,Department of Health and Mental Hygiene,,2,MMA185720196201381,CONSULTANT,MULTIPLE AWARDS,CONTRACTUAL SERVICES GENERAL,Professional Services,816-23MI013001R0X00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620227209409,Not Required,Prime Vendor,A.F. PAREDES & CO.,Non-M/WBE,Tier 2 - CPA Audits of Providers / A.F. PAREDES & CO.,23240.00,23240.00,11620.00,2022-04-01,2023-06-30,2022-07-02,No ,No ,Department of Health and Mental Hygiene,,5,MMA106920216200153,CONSULTANT,MULTIPLE AWARDS,"CONTRACTUAL SERVICES GENERAL, PROF SERV ACCTING & AUDITING",Professional Services,816-22MA045401R0X00,14PPEOCCNV07R02,-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620227209408,Not Required,Prime Vendor,A.F. PAREDES & CO.,Non-M/WBE,Tier 1 - CPA Audits of Providers / A.F. PAREDES & CO.,84920.00,84920.00,39360.00,2022-04-01,2023-06-30,2022-06-30,No ,No ,Department of Health and Mental Hygiene,,6,MMA106920216200152,CONSULTANT,MULTIPLE AWARDS,PROF SERV ACCTING & AUDITING,Professional Services,816-22MA045301R0X00,14PPEOCCNV19R01,-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620227209320,Not Required,Prime Vendor,PADILLA & COMPANY LLP,Asian American,Tier 2 - CPA Audits of Providers / PADILLA & COMPANY LLP,32500.00,32500.00,32500.00,2022-04-01,2023-06-30,2022-07-07,No ,No ,Department of Health and Mental Hygiene,,2,MMA106920216000030,CONSULTANT,MULTIPLE AWARDS,PROF SERV ACCTING & AUDITING,Professional Services,816-22MA045201R0X00,14PPEOCCNV12R02,-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620227209319,Not Required,Prime Vendor,PADILLA & COMPANY LLP,Asian American,Tier 1 - CPA Audits of Providers PADILLA & COMPANY LLP,79200.00,79200.00,64900.00,2022-04-01,2023-06-30,2022-07-06,No ,No ,Department of Health and Mental Hygiene,,2,MMA106920216200526,CONSULTANT,MULTIPLE AWARDS,PROF SERV ACCTING & AUDITING,Professional Services,816-22MA045101R0X00,14PPEOCCNV03R02,-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
